,DateTime,zenith,azimuth,Temperature,Temperature_cell
347,2014-05-02-08-40-00,49.344727,100.06055,21.662598,47.78276538
348,2014-05-02-12-40-00,21.268066,205.1875,27.245605,48.18028217
349,2014-05-02-16-40-00,64.31641,271.4297,21.72998,24.09773816
350,2014-05-03-06-50-00,71.60547,83.416016,15.775879,41.81582481
351,2014-05-03-10-50-00,25.312012,135.14062,22.21289,49.96417285
352,2014-05-03-14-50-00,41.932617,253.5,24.906738,53.41315767
353,2014-05-04-09-00-00,44.96582,103.06055,21.268555,50.44325794
354,2014-05-04-13-00-00,22.895996,217.5,22.47998,24.43251398
355,2014-05-04-17-00-00,68.134766,274.78125,13.459961,14.5319254
356,2014-05-05-07-05-00,68.203125,84.95703,11.689941,34.1579338
357,2014-05-05-11-05-00,22.769043,141.73047,14.981689,33.65464824
358,2014-05-05-15-05-00,44.61133,257.21094,11.702393,12.05879879
359,2014-05-06-09-05-00,43.618164,103.37305,15.35083,45.72623971
360,2014-05-06-13-05-00,23.085938,220.95703,19.369629,31.95534936
361,2014-05-06-17-05-00,68.88672,276,20.07959,40.54125397
362,2014-05-07-07-05-00,67.87695,84.46289,13.189941,40.81990532
363,2014-05-07-11-05-00,22.276855,141.03125,20.139648,48.6529774
364,2014-05-07-15-05-00,44.333008,257.89844,22.935059,50.00859607
365,2014-05-08-09-05-00,43.28711,102.73047,18.339844,46.53567891
366,2014-05-08-13-05-00,22.65039,221.82422,22.949707,44.34283338
367,2014-05-08-17-05-00,68.625,276.51562,22.399902,35.66362817
368,2014-05-09-07-05-00,67.57031,83.98047,10.679932,34.90208854
369,2014-05-09-11-05-00,21.808594,140.3086,10.536133,38.96357193
370,2014-05-09-15-05-00,44.060547,258.5703,15.549805,37.15429378
371,2014-05-10-09-05-00,42.978516,102.09766,10.414795,43.82042561
372,2014-05-10-13-05-00,22.229492,222.66797,17.840332,50.37412211
373,2014-05-10-17-05-00,68.365234,277.0078,19.436523,45.04428592
374,2014-05-11-06-55-00,69.31445,82.17383,12.494629,40.75253743
375,2014-05-11-10-55-00,22.763184,134.4375,18.023438,52.24159944
376,2014-05-11-14-55-00,41.791992,257.32812,22.856934,57.94309763
377,2014-05-11-18-55-00,89.94922,292.15625,20.762207,21.03928173
378,2014-05-12-08-45-00,46.728516,97.9082,12.919922,33.82844874
379,2014-05-12-12-45-00,19.313477,211.98047,18.239746,28.83550898
380,2014-05-12-16-45-00,64.04297,274.8047,16.319824,18.63601744
381,2014-05-13-06-35-00,73.083984,79.083984,10.459961,12.43121292
382,2014-05-13-10-35-00,25.53955,124.9375,14.4123535,46.95219782
383,2014-05-13-14-35-00,37.55957,253.88281,22.019531,42.98527668
